respondent_id,h1n1_vaccine,seasonal_vaccine,xyz_vaccine
26707,0.5,0.37,0.18
26708,0.5,0.06,0.07
26709,0.5,0.83,0.59
26710,0.5,0.91,0.5
26711,0.5,0.46,0.19
26712,0.5,0.83,0.58
26713,0.5,0.6,0.49
26714,0.5,0.19,0.09
26715,0.5,0.13,0.02
26716,0.5,0.86,0.17
26717,0.5,0.41,0.11
26718,0.5,0.54,0.27
26719,0.5,0.85,0.07
26720,0.5,0.19,0.06
26721,0.5,0.56,0.41
26722,0.5,0.15,0.07
26723,0.5,0.83,0.62
26724,0.5,0.81,0.04
26725,0.5,0.13,0.08
26726,0.5,0.09,0.08
26727,0.5,0.74,0.36
26728,0.5,0.52,0.16
26729,0.5,0.47,0.36
26730,0.5,0.29,0.09
26731,0.5,0.34,0.04
26732,0.5,0.24,0.13
26733,0.5,0.95,0.88
26734,0.5,0.46,0.5
26735,0.5,0.33,0.17
26736,0.5,0.16,0.05
26737,0.5,0.13,0.06
26738,0.5,0.74,0.71
26739,0.5,0.24,0.06
26740,0.5,0.18,0.16
26741,0.5,0.88,0.26
26742,0.5,0.27,0.04
26743,0.5,0.28,0.03
26744,0.5,0.65,0.13
26745,0.5,0.72,0.17
26746,0.5,0.19,0.14
26747,0.5,0.17,0.05
26748,0.5,0.15,0.15
26749,0.5,0.65,0.15
26750,0.5,0.95,0.69
26751,0.5,0.74,0.37
26752,0.5,0.2,0.09
26753,0.5,0.38,0.11
26754,0.5,0.55,0.29
26755,0.5,0.39,0.09
26756,0.5,0.07,0.01
26757,0.5,0.53,0.45
26758,0.5,0.76,0.59
26759,0.5,0.09,0.04
26760,0.5,0.18,0.06
26761,0.5,0.59,0.38
26762,0.5,0.73,0.22
26763,0.5,0.89,0.59
26764,0.5,0.9,0.69
26765,0.5,0.48,0.24
26766,0.5,0.13,0.1
26767,0.5,0.57,0.68
26768,0.5,0.36,0.12
26769,0.5,0.29,0.14
26770,0.5,0.58,0.15
26771,0.5,0.33,0.07
26772,0.5,0.46,0.09
26773,0.5,0.36,0.14
26774,0.5,0.43,0.13
26775,0.5,0.52,0.06
26776,0.5,0.38,0.36
26777,0.5,0.65,0.13
26778,0.5,0.14,0.14
26779,0.5,0.59,0.12
26780,0.5,0.84,0.28
26781,0.5,0.41,0.15
26782,0.5,0.23,0.13
26783,0.5,0.21,0.07
